name,area_km2,facility_count,facilities_per_1000km2
Borno,71363.72250712162,471,6.599992033108942
Yobe,45994.97735695908,416,9.044465807027054
Taraba,60474.71962178864,929,15.361790940247493
Zamfara,34418.028986641395,740,21.5003596018591
Bauchi,49015.574305760674,1078,21.993009676381686
Kebbi,36503.3001611253,839,22.984223242738604
Niger,70704.4515737895,1653,23.3790088630399
Sokoto,31494.541249574962,746,23.686644427947265
Kwara,35900.844066777856,878,24.456249506748758
Bayelsa,9902.05775633007,264,26.661125040523338
Kaduna,44501.91058183697,1274,28.627984357147373
Jigawa,24007.384081294644,688,28.657849504563693
Adamawa,33708.5393434861,1050,31.149376996155837
Gombe,18184.70704104391,600,32.99475755346326
Nassarawa,26142.125448945124,968,37.02835876487848
Federal Capital Territory,7322.583892223368,278,37.96474087449347
Edo,19811.88886694303,774,39.06745112483705
Kogi,29056.942673820875,1192,41.02289815486829
Plateau,27553.391155447614,1247,45.25758709571595
Cross River,20994.416696999706,971,46.250391902470184
Ondo,14576.44317641417,676,46.376196978822726
Benue,31449.562825888217,1465,46.582523519025244
Oyo,27728.211080334575,1294,46.66727313388536
Delta,16322.489999062223,783,47.970622132100296
Kano,20072.724468642027,1228,61.17754477815922
Rivers,8441.791006056288,565,66.92892534234254
Ogun,16347.110153554093,1214,74.26389059573684
Katsina,23933.951131246464,1818,75.95904203324575
Akwa Ibom,6651.639988815729,538,80.88230885986157
Ekiti,5233.657586768295,470,89.80335304859291
Ebonyi,6183.541531484745,580,93.7973808450729
Enugu,7699.704654222764,842,109.35484383004487
Osun,9272.828823732445,1267,136.63575852465857
Abia,4704.847352216871,785,166.84919642081837
Anambra,4709.375741667689,941,199.81416892990833
Imo,5291.379414559963,1182,223.38220478908832
Lagos,3574.7298906567776,1236,345.7603896816138
